CUI,CUI_STR,LOINC_PART,LOINC_PART_NAME
C3475728,I feel left out when others are eating in the past 7D,LP146701-0,I feel left out when others are eating in the past 7D
C0236530,Trichinella species antibody,LP40041-3,Trichinella sp Ab
C0552291,17-Ketosteroids.total neutral,LP18179-9,17-Ketosteroids.total neutral
C2709129,Echovirus 8,LP89616-4,Echovirus 8
C2736801,1 hour post dose calcium,LP97504-2,1H post dose calcium
C0085236,"Macrophages, Alveolar",LP420705-8,Macrophages.alveolar
C0317820,Mycoplasma agalactiae,LP19916-3,Mycoplasma agalactiae
C0664715,Mucin-4,LP173612-5,Mucin-4
C0947286,Cell positive for CD14 antigen,LP14445-8,Cells.CD14
C1953882,Collagen.injectable Ab,LP62438-4,Collagen.injectable Ab
C3475592,I am bothered by itching - burning in my vulva area in the past 7D,LP146299-5,I am bothered by itching - burning in my vulva area in the past 7D
C3533290,Functional assessment of non-life threatening conditions questionnaire - version 4,LP146527-9,Functional assessment of non-life threatening conditions questionnaire - version 4
C0003290,Tricyclic Antidepressive Agents,LP14735-2,Tricyclic antidepressants
C0020388,hydroxyproline,LP15650-2,Hydroxyproline
C0069751,oxcarbazepine,LP20805-5,OXcarbazepine
C0487593,Spondylocladium atrovirens Ab.IgE,LP148548-3,Spondylocladium atrovirens Ab.IgE
C0552773,Herpes simplex virus 2 Ab pattern,LP40416-7,Herpes simplex virus 2 Ab pattern
C0552907,Phosphatidylethanolamine Ab.IgG,LP39370-9,Phosphatidylethanolamine Ab.IgG
C1317130,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated,LP31608-0,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated
C2361213,Maximum lysis,LP69291-0,Maximum lysis
C3166082,PhenX measure - perceived social support - conflict,LP112463-7,PhenX measure - perceived social support - conflict
C0021756,Interleukin-2,LP16470-4,Interleukin 2
C2598043,Transfuse cryoprecipitate poor plasma units,LP71066-2,Transfuse cryoprecipitate poor plasma units
C0807853,Salmonella sp serotype,LP174086-1,Salmonella sp serotype
C1440485,Collagen type 4,LP14655-2,Collagen type 4
C0005651,Bisphosphoglycerate Mutase,LP15025-7,Diphosphoglycerate mutase
C0005651,Bisphosphoglycerate Mutase,LP157537-4,Bisphosphoglycerate mutase
C0058372,diphenyl (fungicide),LP34767-1,Biphenyl
C0806472,Hydroxyalprazolam cutoff,LP228689-8,Hydroxyalprazolam cutoff
C1421565,YY1 gene,LP66640-1,YY1 gene
C0006678,"Bilirubin, Calcium Salt",LP89583-6,Calcium bilirubinate
C2736857,pre dose lactulose,LP96491-3,pre dose lactulose
C0017845,glutethimide,LP16157-7,Glutethimide
C1718901,P53 protein Ag,LP39264-4,P53 protein Ag
C3260709,"Because of your problem, is it difficult for you to walk around the house in the dark",LP130681-2,"Because of your problem, is it difficult for you to walk around the house in the dark"
C1979654,Borrelia burgdorferi 35kD Ab,LP65030-6,Borrelia burgdorferi 35kD Ab
C3166546,Was your parent ever told by a doctor that he or she had asthma,LP116150-6,Was your parent ever told by a doctor that he or she had asthma
C0034086,Pulmonary valve structure,LP7523-6,Pulmonic valve
C0034086,Pulmonary valve structure,LP7519-4,Pulmonary valve
C0318703,Bluetongue virus 17,LP29313-1,Bluetongue virus 17
C3165679,PhenX - family conflict - parent - child protocol,LP112571-7,PhenX - family conflict - parent - child protocol 210402
C0945854,Aureobasidium pullulans IgG,LP37146-5,Aureobasidium pullulans Ab.IgG
C1270432,Dog dander specific immunoglobulin E,LP148016-1,Dog dander Ab.IgE
C1441792,US+Calculated,LP192099-2,US+Calculated
C1441792,US+Calculated,LP6600-3,US.calculated
C1953798,Pigweed leukotriene release,LP229306-8,Pigweed leukotriene release
C1115877,Pisum sativum Ab.IgE.RAST class,LP229327-4,Pisum sativum Ab.IgE.RAST class
C1443569,GT1b ganglioside antibody,LP99343-3,Ganglioside GT1b Ab
C2598738,Taenia solium larva Ag,LP71350-0,Taenia solium larva Ag
C3482721,Functional assessment of cancer therapy - bladder symptom index questionnaire - 7 items,LP146588-1,Functional assessment of cancer therapy - bladder symptom index questionnaire - 7 items
C0882805,Cells.CD16c+CD56+/100 cells,LP285329-1,Cells.CD16c+CD56+/100 cells
C1719178,Egg Yolk Ab,LP38008-6,Egg yolk Ab
C1526955,Ribs posterior Left,LP34931-3,Chest>Ribs.posterior.left
C2599691,Continuity assessment record and evaluation tool - Post acute care - discharge,LP74594-0,Continuity assessment record and evaluation tool - post acute care - discharge
C3482303,CCR5 gene.c.794_825del,LP145979-3,CCR5 gene.c.794_825del
C2963661,How much did pain interfere with your enjoyment of social activities in past 7D,LP102968-7,How much did pain interfere with your enjoyment of social activities in past 7D
C2680482,TMEM216 gene,LP193292-2,TMEM216 gene
C3165882,PhenX - total physical activity - objective protocol,LP112397-7,PhenX - total physical activity - objective protocol 150801
C0549075,Assessment: Respiration,LP203981-8,Respiratory assessment
C3165531,Part time advance practice nurse staff positions vacant at end of period,LP116229-8,Part time advance practice nurse staff positions vacant at end of period
C0806198,Gas flow.min,LP76116-0,Gas flow.min
C1540183,VPS13B gene,LP62804-7,VPS13B gene
C1718814,Hepatitis C virus c100p+5-1-1,LP36787-7,Hepatitis C virus c100p+5-1-1
C1978263,Molecular diagnostic major findings for display,LP65482-9,Molecular diagnostic major findings for display
C0445174,Peak pressure,LP101954-8,Pressure peak
C2733757,Hordeum vulgare Ab.IgG4,LP95621-6,Hordeum vulgare Ab.IgG4
C0578853,Posterior eyeball segment structure,LP147343-0,Eye posterior segment
C1718997,Thyme (Thymus vulgaris) Ab,LP39995-3,Thymus vulgaris Ab
C1955089,15 minutes pre 1 ug/kg CRH IV,LP62177-8,15M pre 1 ug/kg CRH IV
C3263429,Bothered by headaches in last 4W,LP140493-0,Bothered by headaches in last 4W
C3534396,HNA 4a-4a Ab,LP157768-5,HNA 4a-4a Ab
C0282597,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",LP189776-0,MS.MALDI
C1440068,Actinobacillus pleuropneumoniae biovar 2,LP14067-0,Actinobacillus pleuropneumoniae biovar 2
C2737262,Outcome and assessment information set (OASIS)-C,LP97133-0,OASIS-C
C1314982,Rehabilitation attachment,LP7764-6,ATTACH.REHAB
C0003313,Immune complex,LP14309-6,Immune complex
C0019693,HIV Infections,LP74932-2,HIV infection
C0489504,Fluid output.cerebral ventricle drain,LP76098-0,Fluid output.cerebral ventricle drain
C1545339,Human coronavirus NL63 RNA,LP38557-2,Human coronavirus NL63 RNA
C2964594,When I was in pain I called out for someone to help me in past 7D,LP102919-0,When I was in pain I called out for someone to help me in past 7D
C0740299,Blood culture positive for microorganism,LP183539-8,Bld.pos growth
C1829549,30 minutes post dose luteinizing releasing hormone IV,LP61891-5,30M post dose luteinizing releasing hormone IV
C3257863,Voice Makes it Difficult to Hear Me,LP130703-4,My voice makes it difficult for people to hear me
C1441153,Ribosomal P,LP18387-8,Ribosomal P
C1718232,Pressure relieving devices for bed,LP75413-2,Pressure relieving devices for bed
C2718050,Limit of Detection,LP263741-3,Detection limit
C0805376,Antigen of Bovine parvovirus,LP37407-1,Bovine parvovirus Ag
C3166318,Serotonin release.heparin.unfractionated interpretation,LP128560-2,Serotonin release.heparin.unfractionated interpretation
C0805698,Codeine cutoff,LP228127-9,Codeine cutoff
C1718400,Tissue chips.positive.carcinoma,LP73524-8,Tissue chips.positive.carcinoma
C3172618,Macrophages/100 cells,LP286458-7,Macrophages/100 cells
C0333835,Charcot-Leyden crystal deposits,LP28644-0,Charcot-Leyden crystals
C1830079,Cephalosporine mold Ab.IgE.RAST class,LP227951-3,Cephalosporine mold Ab.IgE.RAST class
C3166020,PhenX measure - fracture history,LP116301-5,PhenX measure - fracture history
C3166129,PhenX measure - serum creatinine assay for kidney function,LP112369-6,PhenX measure - serum creatinine assay for kidney function
C0806223,Glasgow coma score.total,LP73802-8,Glasgow coma score.total
C1116014,Saccharum officinarum Ab.IgG.RAST class,LP229533-7,Saccharum officinarum Ab.IgG.RAST class
C0385501,norsufentanil,LP248693-6,Norsufentanil
C3475590,I am bothered by headaches in the past 7D,LP147007-1,I am bothered by headaches in the past 7D
C0805706,Coding system.current.SEER,LP72275-8,Coding system.current.SEER
C2736069,Tidal volume.exhaled max setting,LP97531-5,Tidal volume.exhaled max setting
C1719176,Collagen type 4 Ab,LP37759-5,Collagen type 4 Ab
C2734976,PML Ab,LP96200-8,PML Ab
C3476218,My pain keeps me from doing things I want to do in the past 7D,LP146613-7,My pain keeps me from doing things I want to do in the past 7D
C3496593,Sagittal plane body position,LP157416-1,Sagittal plane body position
C0003320,Antigens,LP20666-1,Ag
C0003320,Antigens,LP30821-0,Antigens
C0234425,Level of consciousness,LP145900-9,Level of consciousness
C0017243,Gel,LP183635-4,GEL
C1954732,"Respiratory allergen panel, US - Intermountain west c",LP63602-4,"Respiratory allergen panel, US - Intermountain west c"
C2360670,Hepatitis A virus Ab.IgG+IgM,LP174042-4,Hepatitis A virus Ab.IgG+IgM
C2963511,Fingers objects or surfaces on left,LP101827-6,Fingers objects or surfaces on left
C0010806,Keratin-19,LP19423-0,Cytokeratin 19
C1439519,1 hour post XXX challenge,LP20443-5,1H post XXX challenge
C1718482,Views GE 3,LP220540-1,Views GE 3
C1718482,Views GE 3,LP36518-6,Views GE 3
C2924554,Surgical operative note panel,LP100016-7,Surgical operative note panel
C1115129,Ambrosia bidentata Ab.IgE,LP148520-2,Ambrosia bidentata Ab.IgE
C1545465,Cholinesterase.chloride inhibited,LP35211-9,Cholinesterase.chloride inhibited
C3165904,PhenX domain - Cancer,LP111858-9,PhenX domain - Cancer
C0432650,Blood group antibody Fy^a^,LP38123-3,F little y super little a Ab
C0487574,Spermatozoa.motile with IgA/100 spermatozoa,LP287092-3,Spermatozoa.motile with IgA/100 spermatozoa
C2599856,Major treatments discharged with,LP75062-7,Major treatments discharged with
C2599856,Major treatments discharged with,LP136271-6,Major treatments - discharge
C2963295,Are you able to get out of bed into a chair,LP102819-2,Are you able to get out of bed into a chair
C3476279,Number of male sexual partners in 6 months before symptom onset,LP94247-1,Number of male sexual partners in 6Mo before symptom onset
C0808037,ST wave displacement.end.lead AVR,LP31203-0,ST wave displacement.end.lead AVR
C1419907,SDHB gene,LP31885-4,SDHB gene
C2736990,EGFR gene exon 19,LP95063-1,EGFR gene exon 19
C0040840,Treponema pallidum,LP14042-3,Treponema pallidum
C3475490,Hip dysfunction and osteoarthritis outcome score,LP156422-0,Hip dysfunction and osteoarthritis outcome score
C3475490,Hip dysfunction and osteoarthritis outcome score,LP156469-1,HOOS
C0051228,allyl chloride,LP34755-6,Allyl chloride
C1507002,Organic acids panel,LP33665-8,Organic acids panel
C1507090,Trypanosoma cruzi Ab.IgG & IgM panel,LP35903-1,Trypanosoma cruzi Ab.IgG & IgM panel
C3175423,Has your child ever been diagnosed with a physical disability,LP118522-4,Has your child ever been diagnosed with a physical disability
C2737204,Schinus molle Ab.IgG4,LP96129-9,Schinus molle Ab.IgG4
C3481836,Disposal and waste handling,LP145062-8,Disposal and waste handling
C2599852,Major treatments admitted &or discharged with,LP75060-1,Major treatments admitted &or discharged with
C0446114,Exserohilum rostratum,LP157731-3,Exserohilum rostratum
C2736439,Morus alba Ab.IgG.RAST class,LP229018-9,Morus alba Ab.IgG.RAST class
C0125272,Lysosomal-Associated Membrane Protein 2,LP268909-1,CD107b
C1526840,CFTR gene.p.Gly85Glu,LP34591-5,CFTR gene.p.Gly85Glu
C2708652,Asthma tracking panel,LP94641-5,Asthma tracking panel
C3257843,My mood swings from good feelings to bad feelings in the past 7D,LP134435-9,My mood swings from good feelings to bad feelings in the past 7D
C0947276,Argon laser coagulation Rx spot size,LP72100-8,Argon laser coagulation Rx spot size
C1954088,"A,B variant NOS Ag",LP63038-1,"A,B variant NOS Ag"
C0038581,Neurokinin A,LP19543-5,Neurokinin A
C0301810,Alkaline phosphatase isoenzyme -- substance,LP18187-2,Alkaline phosphatase isoenzyme
C0301810,Alkaline phosphatase isoenzyme -- substance,LP32866-3,Alkaline phosphatase isoenzymes
C0882869,Cells.CD4/Cells.CD8,LP304599-6,Cells.CD4/Cells.CD8
C1293953,Azure-eosin stain method,LP6143-4,Azure-eosin stain
C0070557,phenethicillin,LP16265-8,Phenethicillin
C1717918,HLA-B SBT,LP36825-5,HLA-B SBT
C1718908,Scallop (Pecten spp) Ab,LP39324-6,Pecten spp Ab
C3172749,Have you often used marijuana more frequently or in larger amounts than you intended to,LP114200-1,Have you often used marijuana more frequently or in larger amounts than you intended to
C0368869,Lymphocyte antigen CD44R,LP268932-3,CD44R
C0319920,Aspergillus glaucus,LP18292-0,Aspergillus glaucus
C3165991,PhenX measure - environmental exposures - characteristics of current residence,LP111691-4,PhenX measure - environmental exposures - characteristics of current residence
C3481724,LDLR gene deletion+duplication,LP228854-8,LDLR gene deletion+duplication
C3483359,General contentment,LP148785-1,General contentment
C1270843,Firebush specific immunoglobulin E,LP147793-6,Kochia scoparia Ab.IgE
C2709228,Ultrasound+Estimated from AC+BPD.Eik-Nes 1982,LP6644-1,US+Estimated from AC&BPD.Eik-Nes 1982
C2963930,I felt like I couldn't do anything right in past 7D,LP103284-8,I felt like I couldn't do anything right in past 7D
C0489837,Hemodynamic method,LP7345-4,Hemodynamic method
C1291970,Human echovirus 1 antibody,LP37982-3,Echovirus 1 Ab
C1979533,2 days post dose dexamethasone,LP65142-9,2D post dose dexamethasone
C1439769,5 hours post 500 mg calcium PO,LP20825-3,5H post 500 mg calcium PO
C1526881,poplar antigen,LP34892-7,Poplar
C0514044,Informed consent obtained,LP72798-9,Informed consent obtained
C0805491,Casein Ab.IgG.RAST class,LP227902-6,Casein Ab.IgG.RAST class
C1718850,English Walnut (Juglans regia) Ab,LP38746-1,Juglans regia Ab
C2964036,I stayed angry for hours in past 7D,LP103099-0,I stayed angry for hours in past 7D
C3172129,(Anacardium occidentale+Carya illinoinensis+Castanea sativa+Juglans spp+Pistacia vera) Ab.IgG,LP113517-9,(Anacardium occidentale+Carya illinoinensis+Castanea sativa+Juglans spp+Pistacia vera) Ab.IgG
C0430303,Nitro Blue tetrazolium assay,LP30741-0,Nitroblue tetrazolium test
C2599211,HPA 1b-1b+Glycoprotein IIb-IIIa,LP71643-8,HPA 1b-1b+Glycoprotein IIb-IIIa
C3258154,Serious health problems,LP130890-9,Serious health problems
C3476152,My child is bothered by being shorter than his-her peers in the past 4W,LP149183-8,My child is bothered by being shorter than his-her peers in the past 4W
C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,LP56790-6,MCAD
C1545581,Norovirus genogroup I Ag,LP39212-3,Norovirus genogroup I Ag
C2923566,QUEtiapine metabolite,LP99872-1,QUEtiapine metabolite
C0486427,Liver beef basophil bound Ab,LP174404-6,Liver beef basophil bound Ab
C1440714,HIV 1 p17,LP17961-1,HIV 1 p17
C3174594,"Compared to other children, does this child await turn, stand in line and take turns",LP118963-0,"Compared to other children, does this child await turn, stand in line and take turns"
C3476334,Pediatric Functional Assessment of Chronic Illness Therapy-Fatigue Questionnaire,LP149011-1,Pediatric - functional assessment of chronic illness therapy - fatigue questionnaire
C1115405,Cucumis melo spp Ab.IgG,LP37849-4,Cucumis melo spp Ab.IgG
C2600042,Detection limit <= 1.0 mg/L,LP70454-1,Detection limit <= 1.0 mg/L
C3165814,PhenX - respiratory - arterial blood gas - ABG protocol,LP111957-9,PhenX - respiratory - arterial blood gas - ABG protocol 090201
C0006711,calcium phosphate,LP16847-3,Calcium phosphate
C1412815,FOXL2 gene,LP420119-2,FOXL2 gene
C3261661,Lately I had a good life,LP134285-8,Lately I had a good life
C0882609,Views 2,LP220530-2,Views 2
C0882609,Views 2,LP33420-8,Views 2
C3176311,How many girls did you have,LP121201-0,How many girls did you have
C2362033,HBME-1,LP68386-9,HBME-1
C1879301,Patient Health Questionnaire,LP94997-1,PHQ
C1879301,Patient Health Questionnaire,LP140591-1,Patient health questionnaire
C1879301,Patient Health Questionnaire,LP36709-1,SURVEY.PHQ
C1879301,Patient Health Questionnaire,LP146029-6,Reported.PHQ
C1954386,3-hydroxypalmitate,LP62750-2,3-Hydroxypalmitate
C0008310,Endoscopic Retrograde Cholangiopancreatography,LP6257-2,ERCP
C0807947,Site & laterality & extent of disease override flag,LP73355-7,Site & laterality & extent of disease override flag
C1291824,Keratin antigen AE3,LP36991-5,AE 3 Ag
C0443900,Skin antibody,LP129560-1,Skin Ab
C1526854,Multisection for pyloric stenosis,LP33637-7,Multisection for pyloric stenosis
C1955260,Female fertility,LP32818-4,
C1507313,ASPA gene.p.Tyr231Ter,LP33170-9,ASPA gene.p.Tyr231Ter
C2360533,Echovirus IgG,LP66698-9,Echovirus Ab.IgG
C0021761,interleukin-7,LP16475-3,Interleukin 7
C0475264,localization,LP200047-1,Localization
C0805596,Cheese swiss Ab.IgE.RAST class,LP227978-6,Cheese swiss Ab.IgE.RAST class
C2736926,CD10+FMC7+ cells,LP97447-4,Cells.CD10+FMC7+
C3172264,Is relative alive,LP114926-1,Is relative alive
C3175410,Do you currently experience insomnia,LP120266-4,Do you currently experience insomnia
C0007028,CARBONATE DEHYDRATASE,LP15473-9,Carbonate dehydratase
C1522570,Vaginal Route of Drug Administration,LP253524-5,VG
C1953590,Streptomycin 1.0 ug/mL,LP229697-0,Streptomycin 1.0 ug/mL
C3165925,PhenX measure - alcohol - maximum drinks in 24H,LP111726-8,PhenX measure - alcohol - maximum drinks in 24H
C3165957,PhenX measure - child-reported parental education attainment,LP112565-9,PhenX measure - child-reported parental education attainment
C0128546,Small Inducible Cytokine A3,LP421050-8,Macrophage inflammatory protein 1.alpha
C0075128,SS A antibodies,LP39751-0,Sjogrens syndrome-A extractable nuclear Ab
C3173107,About how old were you the first time you got this exposure,LP114835-4,About how old were you the first time you got this exposure
C0806201,Gas flow.secondary gas setting,LP72630-4,Gas flow.secondary gas setting
C2964333,PhenX measure - maximum adult weight,LP95303-1,PhenX measure - maximum adult weight
C0032207,platinum,LP14931-7,Platinum
C0947105,Calcaneus Bilateral,LP29865-0,Lower extremity.bilateral>Calcaneus
C1508399,Views AP + lateral + Sunrise + tunnel,LP33834-0,Views AP + lateral + Sunrise + tunnel
C1706765,Alignment,LP432221-2,Alignment
C1440190,C^x,LP17942-1,C super little x
C1511900,Diet and nutrition,LP102362-3,Diet and nutrition
C1977833,Suberate.unsaturated/Creatinine,LP287149-1,Suberate.unsaturated/Creatinine
C2736708,Mood state - addressed in care plan,LP98487-9,Mood state - addressed in care plan
C1257910,Aneuploid Cell,LP28739-8,Cells.aneuploid
C2964459,SEER site-specific fact 3,LP100970-5,SEER site-specific fact 3
C1440931,Llama fur,LP17501-5,Llama fur
C0804905,(Chicken feather+Cow dander+Goose feather+Horse dander) Ab.IgE,LP147495-8,(Chicken feather+Cow dander+Goose feather+Horse dander) Ab.IgE
C1829534,2 hours post dose glucagon,LP61855-0,2H post dose glucagon
C2708234,Insurance case mix - RUG group,LP91022-1,Insurance case mix - RUG group
C0051008,AH 7921,LP411334-8,AH-7921
C0489904,weighing device,LP7723-2,Weighing device
C0946310,Producer code,LP73196-5,Producer code
C1441738,Screen>20 ng/mL,LP6507-0,Screen>20 ng/mL
C1525351,(Chicken feather+Duck feather+Goose feather+Turkey feather) Ab.IgG,LP36916-2,(Chicken feather+Duck feather+Goose feather+Turkey feather) Ab.IgG
C2599683,Capacity.inspiratory.bs,LP76243-2,Capacity.inspiratory.bs
C2826250,Collection Date Time,LP135639-5,Collection date & time
C0035542,Ribonucleases,LP15854-0,Ribonuclease
C1420654,TCOF1 gene,LP34680-6,TCOF1 gene
C1979781,Parakeet+Parrot droppings,LP65374-8,Parakeet+Parrot droppings
C2963473,"Does your health now limit you in taking care of your personal needs (dress, comb hair, toilet, eat, bathe)",LP102867-1,"Does your health now limit you in taking care of your personal needs (dress, comb hair, toilet, eat, bathe)"
C3475860,I have gained weight in the past 7D,LP146186-4,I have gained weight in the past 7D
C0287573,cefditoren,LP33348-1,Cefditoren
C0487166,Lymphocytes.IgD/100 lymphocytes,LP286434-8,Lymphocytes.IgD/100 lymphocytes
C2360722,Transcript reference sequence identifier,LP66891-0,Transcript reference sequence identifier
C3476640,Total score - Ages and stages questionnaires 8 Mo,LP156536-7,Total score - Ages and stages questionnaires 8 Mo
C1979673,CD4+CD7-CD26- cells,LP66076-8,Cells.CD4+CD7-CD26-
C3165901,PhenX - wt loss - gain protocol,LP111510-6,PhenX - wt loss - gain protocol 021401
C3166429,This child often does not seem to listen when spoken to directly,LP121235-8,This child often does not seem to listen when spoken to directly
C1291843,influenza B virus antigen,LP38692-7,Influenza virus B Ag
C0332304,With laterality,LP72864-9,Laterality
C0007966,Cheek structure,LP76299-4,Cheek
C0033493,propoxyphene,LP15017-4,Propoxyphene
C1148358,Haemophilus influenzae antigen,LP38273-6,Haemophilus influenzae Ag
C1317541,Mixed cellular casts,LP31779-9,Mixed cellular casts
C0945849,Aspergillus fumigatus Ab.IgG4,LP95614-1,Aspergillus fumigatus Ab.IgG4
C3475967,I have trouble writing with a pen or pencil in the past 4W,LP149144-0,I have trouble writing with a pen or pencil in the past 4W
C1116542,Abelmoschus esculentus,LP17540-3,Abelmoschus esculentus
C1317054,(Corylus avellana+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE,LP147719-1,(Corylus avellana+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE
C1442044,Warm absorption,LP31854-0,Warm absorption
C1545918,Babesia duncani Ab,LP37199-4,Babesia duncani Ab
C1718866,Lipoprotein.beta.subparticle.small,LP36603-6,Lipoprotein.beta.subparticle.small
C3483983,Bipolar score,LP150151-1,Bipolar score
C0368932,Coagulation dilute Russell viper venom induced,LP17104-8,Coagulation dilute Russell viper venom induced
C0806479,I (int) subtype,LP18670-7,I (int) subtype
C0946247,Neuro-musculo-skeletal Function:status,LP56816-9,Neuro-musculo-skeletal function.status
C1440329,CD50 cells,LP19075-8,Cells.CD50
C3260673,Does looking up increase your problem,LP130688-7,Does looking up increase your problem
C0038748,SULFITE OXIDASE,LP15876-3,Sulfite oxidase
C3476547,"t(1;11)(p32;q23)(EPS15,MLL)",LP146046-0,"t(1;11)(p32;q23)(EPS15,MLL)"
C0522404,Streptococcus pneumoniae Danish serotype 9N,LP249086-2,Streptococcus pneumoniae Danish serotype 9N
C0522404,Streptococcus pneumoniae Danish serotype 9N,LP269131-1,Streptococcus pneumoniae 9n
C1507065,Subject participation+Epochs section,LP73422-5,Subject participation+Epochs section
C1953612,Formaldehyde leukotriene release,LP228462-0,Formaldehyde leukotriene release
C3476481,Service comment 55,LP145451-3,Service comment 55
C0883001,Views limited diagnostic,LP33576-7,Views limited diagnostic
C1270665,Lemon specific immunoglobulin E,LP148058-3,Citrus limon Ab.IgE
C0125271,Lysosomal-Associated Membrane Protein 1,LP268908-3,CD107a
C3174409,Has a doctor or other medical care provider ever told you you had fibroid tumors or myomas in your uterus,LP116882-4,Has a doctor or other medical care provider ever told you you had fibroid tumors or myomas in your uterus
C3641160,In General Please Rate How Well You Carry Out Your Usual Social Activities And Roles,LP102776-4,"In general, please rate how well you carry out your usual social activities and roles"
C0489805,Cardiac measurement device,LP7114-4,Cardiac measurement device
C1977910,Protein fractions.oligoclonal bands/Protein.total,LP286930-5,Protein fractions.oligoclonal bands/Protein.total
C1115280,Carthamus tinctorius Ab.IgG.RAST class,LP227894-5,Carthamus tinctorius Ab.IgG.RAST class
C1718260,Reason for transplant,LP73239-3,Reason for transplant
C2360753,Individual allele results panel,LP66916-5,Individual allele results panel
C0038293,Sternum,LP206664-7,Chest>Sternum
C0038293,Sternum,LP30315-3,Sternum
C0038293,Sternum,LP206665-4,Sternum
C1441947,Ultrasound+Estimated from FL.Jeanty 1982,LP32330-0,US+Estimated from FL.Jeanty 1982
C1508458,Views PA + apical lordotic,LP33434-9,Views PA + apical lordotic
C3165606,PhenX - cancer - personal and family history protocol,LP111870-4,PhenX - cancer - personal and family history protocol 070601
C3261954,I become anxious when I go back to the hospital or clinic in the past 7D,LP134446-6,I become anxious when I go back to the hospital or clinic in the past 7D
C3482222,"inv(16)(p13.1;q22.1)(MYH11,CBFB) fusion transcript/control transcript",LP286283-9,"inv(16)(p13.1;q22.1)(MYH11,CBFB) fusion transcript/control transcript"
C2963277,Are you able to carry a laundry basket up a flight of stairs,LP102816-8,Are you able to carry a laundry basket up a flight of stairs
C2985560,Radioembolisation,LP266959-8,Radioembolization
C3258164,Sitting - confidence - score change,LP140266-0,Sitting - confidence - score change
C1525418,Mycobacterium tuberculosis complex rRNA,LP39080-4,Mycobacterium tuberculosis complex rRNA
C0044706,11 beta-hydroxyandrosterone,LP15285-7,11-Hydroxyandrosterone
C0808085,Streptococcus pneumoniae group B Ab,LP39913-6,Streptococcus pneumoniae group B Ab
C0945949,Chocolate Ab.IgE.RAST class,LP228000-8,Chocolate Ab.IgE.RAST class
C3475981,I lose my balance or fall down easily in the past 4W,LP149138-2,I lose my balance or fall down easily in the past 4W
C0152036,Immunology,LP345046-9,Immunology
C3176967,Dermatophagoides pteronyssinus recombinant (rDer p) 2,LP113781-1,Dermatophagoides pteronyssinus recombinant (rDer p) 2
C1420140,SLC22A5 gene,LP101445-7,SLC22A5 gene
C1317447,Immunoglobulin light chains.kappa Ag,LP38624-0,Immunoglobulin light chains.kappa Ag
C0073115,vitamin A palmitate,LP34632-7,Retinyl palmitate
C2963890,I could walk up stairs without holding on to anything in past 7D,LP103318-4,I could walk up stairs without holding on to anything in past 7D
C3259795,How much have you felt this way during the past few Ws,LP129076-8,How much have you felt this way during the past few Ws
C0807912,Service comment 32,LP18802-6,Service comment 32
C1115976,Reticulocytes.aggregate/100 erythrocytes,LP308200-7,Reticulocytes.aggregate/100 erythrocytes
C1439675,3 days post 0.1 mL leishmanin intradermal,LP20657-0,3D post 0.1 mL leishmanin ID
C2709137,Frozen packed erythrocytes,LP89492-0,Frozen packed erythrocytes
C3258032,People in this neighborhood do not share the same values,LP133461-6,People in this neighborhood do not share the same values
C1508582,Finger fifth Bilateral,LP34012-2,Upper extremity.bilateral>Finger.fifth
C0443691,Salmonella enterica subspecies enterica serovar Paratyphi C antibody,LP63067-0,Salmonella paratyphi C Ab
C3533213,JWH-018 pentanoate,LP157286-8,JWH-018 pentanoate
C0031266,Structure of petrous part of temporal bone,LP199999-6,Petrous part of temporal bone
C0031266,Structure of petrous part of temporal bone,LP191622-2,Petrous part of temporal bone
C1116049,Secale cereale basophil bound Ab,LP174305-5,Secale cereale basophil bound Ab
C1623633,Geographic information system coordinate quality,LP72635-3,Geographic information system coordinate quality
C1979671,CD3-CD16+CD56+CD244+ cells,LP65904-2,Cells.CD3-CD16+CD56+CD244+
C0234379,Resting Tremor,LP121778-7,Tremor at rest
C1317761,Surgical margin tumor involvement.distant,LP73460-5,Surgical margin tumor involvement.distant
C0006558,C-Peptide,LP15454-9,C peptide
C1270807,Orchard grass specific immunoglobulin E,LP148062-5,Dactylis glomerata Ab.IgE
C1441910,Ultrasound+Estimated from BPD.Tokyo 1986,LP32309-4,US+Estimated from BPD.Tokyo 1986
C2963798,How physically drained were you on average in past 7D,LP103058-6,How physically drained were you on average in past 7D
C0424022,Delusional mood,LP121749-8,Delusional moods
C1717539,Advance directive - none,LP74452-1,Advance directive - none
C0230429,Both thighs,LP30326-0,Thigh.bilateral
C1116381,Sambucus nigra Ab.IgG,LP39700-7,Sambucus nigra Ab.IgG
C1442917,DNA probe method,LP6459-4,Probe
C0025696,methyclothiazide,LP17953-8,Methyclothiazide
C0038056,Sputum,LP7600-2,Sputum
C0883122,Hemoglobin C/Hemoglobin.total,LP286161-7,Hemoglobin C/Hemoglobin.total
C2734484,Citrus reticulata Ab.IgG4,LP95829-5,Citrus reticulata Ab.IgG4
